RegionName,State,Metro,avg_rent
Marina del Rey,CA,"Los Angeles-Long Beach-Anaheim, CA",3659.8462365293667
Potomac,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3646.031114112885
Wailuku,HI,"Kahului-Wailuku-Lahaina, HI",3637.718255740564
Windsor,CA,"Santa Rosa-Petaluma, CA",3636.722483881394
San Anselmo,CA,"San Francisco-Oakland-Berkeley, CA",3626.1022951391774
Rhinebeck,NY,"Poughkeepsie-Newburgh-Middletown, NY",3625.0
Beverly Hills,CA,"Los Angeles-Long Beach-Anaheim, CA",3624.263875946902
Woodbury,NY,"New York-Newark-Jersey City, NY-NJ-PA",3620.0
Winchester,MA,"Boston-Cambridge-Newton, MA-NH",3606.0
Hastings on Hudson,NY,"New York-Newark-Jersey City, NY-NJ-PA",3604.1182318796873
Goleta,CA,"Santa Maria-Santa Barbara, CA",3580.1910152193323
Walnut,CA,"Los Angeles-Long Beach-Anaheim, CA",3575.48957308299
Key Largo,FL,"Key West, FL",3570.8558331590234
Wellesley,MA,"Boston-Cambridge-Newton, MA-NH",3547.808823164996
Cupertino,CA,"San Jose-Sunnyvale-Santa Clara, CA",3536.922177159169
Ridgewood,NJ,"New York-Newark-Jersey City, NY-NJ-PA",3527.084708214638
Kailua Kona,HI,"Hilo, HI",3514.844906304222
Menlo Park,CA,"San Francisco-Oakland-Berkeley, CA",3503.3844841066757
Ocean,NJ,"New York-Newark-Jersey City, NY-NJ-PA",3500.0
Los Altos Hills,CA,"San Jose-Sunnyvale-Santa Clara, CA",3500.0
Oyster Bay,NY,"New York-Newark-Jersey City, NY-NJ-PA",3494.179929103665
Key West,FL,"Key West, FL",3492.3544334683193
Santa Fe Springs,CA,"Los Angeles-Long Beach-Anaheim, CA",3478.524756155981
Lake Forest,IL,"Chicago-Naperville-Elgin, IL-IN-WI",3477.0
Mountain View,CA,"San Jose-Sunnyvale-Santa Clara, CA",3470.3781423064815
Larkspur,CA,"San Francisco-Oakland-Berkeley, CA",3458.4333174126355
Park City,UT,"Heber, UT",3441.777177126526
San Carlos,CA,"San Francisco-Oakland-Berkeley, CA",3440.6589589117602
Westport,CT,"Bridgeport-Stamford-Norwalk, CT",3438.184263186218
Rancho Mission Viejo,CA,"Los Angeles-Long Beach-Anaheim, CA",3413.7833440444947
Gilroy,CA,"San Jose-Sunnyvale-Santa Clara, CA",3406.1652950984644
Hillsboro Beach,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3400.0
Spicewood,TX,"Austin-Round Rock-Georgetown, TX",3400.0
Los Alamitos,CA,"Los Angeles-Long Beach-Anaheim, CA",3396.4711869467033
Dobbs Ferry,NY,"New York-Newark-Jersey City, NY-NJ-PA",3391.8326265363785
Westwood,MA,"Boston-Cambridge-Newton, MA-NH",3384.015219402971
Los Gatos,CA,"San Jose-Sunnyvale-Santa Clara, CA",3380.8238732754626
Great Neck,NY,"New York-Newark-Jersey City, NY-NJ-PA",3380.6515139395756
Yorba Linda,CA,"Los Angeles-Long Beach-Anaheim, CA",3379.9323973019414
Aptos,CA,"Santa Cruz-Watsonville, CA",3368.9546178658757
Jackson,NJ,"New York-Newark-Jersey City, NY-NJ-PA",3359.3984993926433
Mineola,NY,"New York-Newark-Jersey City, NY-NJ-PA",3352.34848847075
Watsonville,CA,"Santa Cruz-Watsonville, CA",3348.1495642765103
Oakley,CA,"San Francisco-Oakland-Berkeley, CA",3347.624321181262
Redwood City,CA,"San Francisco-Oakland-Berkeley, CA",3318.1785601048914
Lanham Seabrook,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3300.0
Pleasantville,NY,"New York-Newark-Jersey City, NY-NJ-PA",3300.0
Agoura Hills,CA,"Los Angeles-Long Beach-Anaheim, CA",3299.7452646908523
Morris Plains,NJ,"New York-Newark-Jersey City, NY-NJ-PA",3298.357802158176
Port Jefferson,NY,"New York-Newark-Jersey City, NY-NJ-PA",3284.73014171532
Foster City,CA,"San Francisco-Oakland-Berkeley, CA",3279.872122910595
South San Francisco,CA,"San Francisco-Oakland-Berkeley, CA",3277.7327583350225
Lafayette,CA,"San Francisco-Oakland-Berkeley, CA",3268.587842836086
Sausalito,CA,"San Francisco-Oakland-Berkeley, CA",3263.564092258283
Westfield,NJ,"New York-Newark-Jersey City, NY-NJ-PA",3257.632594049599
La Crescenta-Montrose,CA,"Los Angeles-Long Beach-Anaheim, CA",3257.1574281624034
Wall,NJ,"New York-Newark-Jersey City, NY-NJ-PA",3242.929646799019
San Francisco,CA,"San Francisco-Oakland-Berkeley, CA",3242.5651643751994
Lauderdale-by-the-Sea,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3230.8397010942213
Brookline,MA,"Boston-Cambridge-Newton, MA-NH",3204.103730456626
Mill Valley,CA,"San Francisco-Oakland-Berkeley, CA",3203.6131708529656
Poway,CA,"San Diego-Chula Vista-Carlsbad, CA",3202.7044910685763
Kihei,HI,"Kahului-Wailuku-Lahaina, HI",3193.039727594462
Palo Alto,CA,"San Jose-Sunnyvale-Santa Clara, CA",3191.683898678203
Culver City,CA,"Los Angeles-Long Beach-Anaheim, CA",3189.496971886411
Claremont,CA,"Los Angeles-Long Beach-Anaheim, CA",3187.6880858513146
Miami Springs,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3187.5
Vail,CO,"Edwards, CO",3182.846607222931
Haverstraw,NY,"New York-Newark-Jersey City, NY-NJ-PA",3175.857840889452
Teaneck,NJ,"New York-Newark-Jersey City, NY-NJ-PA",3175.0
Capitola,CA,"Santa Cruz-Watsonville, CA",3166.84292372064
Marina,CA,"Salinas, CA",3161.294147318924
Mansfield,CT,"Hartford-East Hartford-Middletown, CT",3150.0
Moraga,CA,"San Francisco-Oakland-Berkeley, CA",3149.9504473759494
Burlington,MA,"Boston-Cambridge-Newton, MA-NH",3148.5690344728237
Aldie,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3136.737082162858
Moorpark,CA,"Oxnard-Thousand Oaks-Ventura, CA",3136.5822629522618
Evergreen,CO,"Denver-Aurora-Lakewood, CO",3125.478223842724
San Mateo,CA,"San Francisco-Oakland-Berkeley, CA",3108.569830453553
Ladera Ranch,CA,"Los Angeles-Long Beach-Anaheim, CA",3107.4595062268277
Temple City,CA,"Los Angeles-Long Beach-Anaheim, CA",3101.0905730439626
Morgan Hill,CA,"San Jose-Sunnyvale-Santa Clara, CA",3097.67919550725
Calistoga,CA,"Napa, CA",3089.7409142520983
Canyon Lake,CA,"Riverside-San Bernardino-Ontario, CA",3086.3015918749584
Hoboken,NJ,"New York-Newark-Jersey City, NY-NJ-PA",3086.131529458766
Middletown,RI,"Providence-Warwick, RI-MA",3080.7156349450433
Morro Bay,CA,"San Luis Obispo-Paso Robles, CA",3080.0106281741064
Millbrae,CA,"San Francisco-Oakland-Berkeley, CA",3077.8912559955934
Newport Beach,CA,"Los Angeles-Long Beach-Anaheim, CA",3074.7006383561566
Portsmouth,RI,"Providence-Warwick, RI-MA",3074.5316469267054
Encinitas,CA,"San Diego-Chula Vista-Carlsbad, CA",3074.290475511174
Santa Monica,CA,"Los Angeles-Long Beach-Anaheim, CA",3073.7960732097235
Seal Beach,CA,"Los Angeles-Long Beach-Anaheim, CA",3072.757790443263
Maplewood,NJ,"New York-Newark-Jersey City, NY-NJ-PA",3065.7304794469655
Argyle,TX,"Dallas-Fort Worth-Arlington, TX",3054.221799799512
Orting,WA,"Seattle-Tacoma-Bellevue, WA",3051.3866338841854
Greenwich,CT,"Bridgeport-Stamford-Norwalk, CT",3048.6868205630944
Tinton Falls,NJ,"New York-Newark-Jersey City, NY-NJ-PA",3047.893971526404
Cranford,NJ,"New York-Newark-Jersey City, NY-NJ-PA",3047.2264714201724
Melbourne Beach,FL,"Palm Bay-Melbourne-Titusville, FL",3044.730131729654
Sunnyvale,CA,"San Jose-Sunnyvale-Santa Clara, CA",3044.662487794976
Santa Barbara,CA,"Santa Maria-Santa Barbara, CA",3039.8176967391823
San Luis Obispo,CA,"San Luis Obispo-Paso Robles, CA",3033.0394358972126
